formula_id,module,name,status,formula,input_vars,output,unit,source,verification,current_callers,notes
F-QN-001,q_need,p1载荷估算法,active,"p1=k1*Hm*gamma/1000","Hm;k1;gamma",p1,MPa,"W33已挂来源","谢桥p1=0.90","app/services/calc/q_need.py","W33主链"
F-QN-002,q_need,p2老顶来压步距法,active,"p2=k*L1*Hm*gamma/(Lp*1000)","Hm;L1;Lp;k;gamma",p2,MPa,"W33已挂来源","谢桥p2=0.70","app/services/calc/q_need.py","W33主链"
F-QN-003,q_need,p3统计回归法,active,"Ps=72.3Hm+4.5Lp+78.9Bc-10.24N-62.1","Hm;Lp;Bc;N",p3,MPa,"W33已挂来源","谢桥p3=0.82","app/services/calc/q_need.py","W33主链"
F-QN-004,q_need,需求支护强度控制值,active,"q_need=max(p1,p2,p3)","p1;p2;p3",q_need,MPa,"程序决策规则","谢桥0.90","app/services/calc/q_need.py","不是工作阻力"
F-COL-001,column,立柱理论缸径反算,active,"D=sqrt(4P*1000/(n*pi*p*eta))","P;n;p;eta",D,mm,"项目立柱参数化计算关系；GB/T 2348仅用于标准缸径系列","2533kN,n=1,p=31.5MPa,eta=1.0→320mm","app/services/calc/column.py","eta为历史立柱修正系数(物理口径待核)；eta须显式输入；不得等同Ks"
F-COL-002,column,单柱推力,active,"F=p*pi*D^2/4/1000","D;p",F,kN,"液压缸受压面积基本关系","320mm@31.5MPa≈2533.4kN","app/services/calc/column.py;core/support.py","公式本身不含eta；整架圆整后计算承载力另按n与显式eta组合"
F-COL-003,column,初撑力比,active,"r=P_set/P_rated","P_set;P_rated",r,-,"W35-D2已核标准证据","校核区间60%~85%；基准75%","app/services/calc/column.py","p_set_kn仅显式输入时校核；不自动补齐"
F-STR-001,column_strength,材料许用应力,active,"sigma_allow=sigma_s/n","sigma_s;n",sigma_allow,MPa,"W33-D4当前口径","835/2=417.5","app/services/calc/column_strength.py","材料口径仍需后续标准核定"
F-STR-002,column_strength,薄壁缸筒壁厚,active,"delta=pD/(2[sigma])","p;D;sigma_allow",delta,mm,"吕晶霞等","D200,p43.4→10.40","app/services/calc/column_strength.py","适用delta/D<=0.08"
F-STR-003,column_strength,中壁缸筒壁厚,active,"delta=pD/(2.3[sigma]-3p)","p;D;sigma_allow",delta,mm,"W33-D4来源","构造例","app/services/calc/column_strength.py","公式验证构造例"
F-STR-004,column_strength,厚壁拉美公式,active,"delta=D/2*(sqrt(([sigma]+0.4p)/([sigma]-1.3p))-1)","p;D;sigma_allow",delta,mm,"W33-D4来源","构造例","app/services/calc/column_strength.py","公式验证构造例"
F-STR-005,column_strength,应力安全系数,active,"n=sigma_s/sigma_max","sigma_s;sigma_max",n,-,"W33-D4","656.7/835→1.27","app/services/calc/column_strength.py",""
F-STR-006,column_strength,欧拉临界载荷,active,"Pcr=pi^2*E*I/(mu*L)^2","E;I;mu;L",Pcr,kN,"经典欧拉模型","构造例5082.8kN","app/services/calc/column_strength.py","构造验证"
F-LEG-001,legacy_requirement,旧需求支护强度,legacy_review,"q=k1*coal_thickness*rock_gamma/1000","coal_thickness;k1;rock_gamma",q,MPa,"历史选型论文口径待重核","已有旧API测试","app/main.py:/api/requirement","与W33 q_need不是同一模型"
F-LEG-002,legacy_requirement,旧需求工作阻力,legacy_review,"F=q*(beam_length+roof_end_distance)*center_distance*1000","q;beam_length;roof_end_distance;center_distance",F,kN,"历史口径待重核","旧接口运行中","app/main.py:/api/requirement","支护面积定义待核"
F-LEG-003,legacy_recalc,旧初撑力计算,legacy_review,"F_set=n*p*pi*D^2/4","n;p;D",F_set,kN,"历史实现","旧ModifyView使用","app/main.py:/api/recalc","pump_pressure被直接用于初撑"
F-LEG-004,legacy_recalc,旧工作阻力换算,legacy_review,"F_work=F_set/setting_ratio","F_set;setting_ratio",F_work,kN,"历史参数链","旧ModifyView使用","app/main.py:/api/recalc","setting_ratio定义需核"
F-LEG-005,legacy_recalc,旧支护强度计算,legacy_review,"q=F_work*eta/top_area/1000","F_work;eta;top_area",q,MPa,"历史实现","旧ModifyView使用","app/main.py:/api/recalc","eta物理含义待核"
F-SC-001,support_calc,单柱推力,legacy_review,"F=p*pi*D^2/4","D;p",F,kN,"MT/T 556-1996标注待核页码","旧Agent工具使用","app/services/support_calc.py","与F-COL-002重复"
F-SC-002,support_calc,整架工作阻力,legacy_review,"F=sum(F_column)*eta","F_column;n;eta",F,kN,"历史实现","旧Agent工具使用","app/services/support_calc.py","eta位置与/recalc不同"
F-SC-003,support_calc,支护强度复算,legacy_review,"q=F/(center_dist*canopy_len)/1000","F;center_dist;canopy_len",q,MPa,"历史实现","旧Agent工具使用","app/services/support_calc.py","canopy_len工程定义待核"
F-QN-005,q_need,控顶面积,active,A_control=Sc*Bc,center_dist_m;control_width_m,A_control,m2,KA/T 554-1996附录D：Sc为支架中心距，Bc为控顶宽度,W35-D2标准代数基准通过,app/services/calc/resistance.py,Bc必须显式/已核；禁止由canopy_len静默推断
F-QN-006,q_need,基础需求工作阻力,active,F_base=q_need*A_control*1000,q_need_mpa;A_control,F_base,kN,KA/T 554-1996附录D换算结构；1MPa=1000kN/m2,W35-D2标准代数基准通过,app/services/calc/resistance.py,q_need为项目控制需求支护强度，不宣称标准直接定义q_need
F-QN-007,q_need,额定需求工作阻力,active,F_rated=F_base/Ks,F_base;support_efficiency,F_rated,kN,KA/T 554-1996附录D：Ks为液压支架支撑效率,W35-D2标准代数基准通过,app/services/calc/resistance.py,Ks不得使用全局默认eta；须显式输入或由已核标准规则确定
