id,area_id,support_model_id,working_face_name,coal_thickness,roof_condition,roof_class,floor_condition,dip_angle,gas_level,gas_level_norm,mining_height,daily_output,created_at,source
4,1,63,补连塔12514工作面,8.80,中等稳定,2类-中等稳定,坚硬,2.0,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:36:02,"早期采集,来源待回溯(W26-D1标注)"
5,2,63,补连塔22304工作面,6.80,中等稳定,2类-中等稳定,坚硬,2.0,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:36:02,"早期采集,来源待回溯(W26-D1标注)"
6,3,63,曹家滩122106工作面,9.80,中等稳定,2类-中等稳定,坚硬,5.0,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:36:02,"早期采集,来源待回溯(W26-D1标注)"
7,4,6,塔山8102工作面,3.50,中等稳定,2类-中等稳定,坚硬,3.0,低瓦斯煤层涌出量大,低瓦斯,4.00,8000,2026-08-04 19:36:02,"早期采集,来源待回溯(W26-D1标注)"
8,5,6,兴隆庄4301工作面,9.40,中等稳定,2类-中等稳定,坚硬,5.0,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:36:02,"早期采集,来源待回溯(W26-D1标注)"
9,6,6,鲍店1316工作面,8.74,中等稳定,2类-中等稳定,坚硬,6.5,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:36:02,"早期采集,来源待回溯(W26-D1标注)"
10,7,6,东滩矿工作面,6.50,中等稳定,2类-中等稳定,坚硬,5.5,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:36:02,"早期采集,来源待回溯(W26-D1标注)"
11,8,63,晋城寺河工作面,5.60,中等稳定,2类-中等稳定,坚硬,5.0,高瓦斯(400m3/min),高瓦斯,4.00,8000,2026-08-04 19:36:02,"早期采集,来源待回溯(W26-D1标注)"
12,9,63,金鸡滩工作面,7.00,中等稳定,2类-中等稳定,坚硬,1.0,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:36:02,"早期采集,来源待回溯(W26-D1标注)"
13,10,1,平朔安家岭工作面,13.14,中等稳定,2类-中等稳定,坚硬,5.0,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:36:02,"早期采集,来源待回溯(W26-D1标注)"
14,11,6,潞安王庄工作面,,中等稳定,2类-中等稳定,坚硬,5.0,涌出量大,,4.00,8000,2026-08-04 19:36:02,"早期采集,来源待回溯(W26-D1标注)"
15,12,6,潞安屯留工作面,,中等稳定,2类-中等稳定,坚硬,5.0,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:36:02,"早期采集,来源待回溯(W26-D1标注)"
16,13,6,神东黄玉川工作面,3.50,中等稳定,2类-中等稳定,坚硬,8.5,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:36:02,"早期采集,来源待回溯(W26-D1标注) | W27审计存疑:采高>煤厚0.5m,架型与矿区类型存疑"
17,14,1,淮北涡北工作面,10.00,中等稳定,2类-中等稳定,坚硬,5.0,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:36:02,"早期采集,来源待回溯(W26-D1标注)"
18,15,67,新汶华丰1411工作面,6.20,中等稳定,2类-中等稳定,坚硬,32.0,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:36:02,"早期采集,来源待回溯(W26-D1标注)"
20,17,67,义马耿村13230工作面,23.40,中等稳定,2类-中等稳定,坚硬,11.0,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:36:02,"早期采集,来源待回溯(W26-D1标注)"
21,18,1,淮南顾桥1313(3)工作面,5.80,中等稳定,2类-中等稳定,坚硬,5.5,高瓦斯突出矿区,突出,4.00,8000,2026-08-04 19:36:02,"早期采集,来源待回溯(W26-D1标注)"
22,1,63,补连塔12514工作面,8.80,浅埋薄基岩,,坚硬,2.0,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:39:24,"早期采集,来源待回溯(W26-D1标注)"
23,2,63,补连塔22304工作面,6.80,浅埋薄基岩,,坚硬,2.0,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:39:24,"早期采集,来源待回溯(W26-D1标注)"
24,3,63,曹家滩122106工作面,9.80,坚硬,4类-坚硬,坚硬,5.0,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:39:24,"早期采集,来源待回溯(W26-D1标注)"
25,4,6,塔山8102工作面,3.50,坚硬,4类-坚硬,坚硬,3.0,低瓦斯煤层涌出量大,低瓦斯,4.00,8000,2026-08-04 19:39:24,"早期采集,来源待回溯(W26-D1标注)"
26,5,6,兴隆庄4301工作面,9.40,中等稳定,2类-中等稳定,坚硬,5.0,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:39:24,"早期采集,来源待回溯(W26-D1标注)"
28,7,6,东滩矿工作面,6.50,中等稳定,2类-中等稳定,坚硬,5.5,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:39:24,"早期采集,来源待回溯(W26-D1标注)"
35,14,1,淮北涡北工作面,10.00,复杂,,坚硬,5.0,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:39:24,"早期采集,来源待回溯(W26-D1标注)"
36,15,67,新汶华丰1411工作面,6.20,深部,,坚硬,32.0,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:39:24,"早期采集,来源待回溯(W26-D1标注)"
38,17,67,义马耿村13230工作面,23.40,冲击,,坚硬,11.0,低瓦斯,低瓦斯,4.00,8000,2026-08-04 19:39:24,"早期采集,来源待回溯(W26-D1标注)"
39,18,1,淮南顾桥1313(3)工作面,5.80,中等稳定,2类-中等稳定,坚硬,5.5,高瓦斯突出矿区,突出,4.00,8000,2026-08-04 19:39:24,"早期采集,来源待回溯(W26-D1标注)"
40,21,147,1341(3),5.00,"直接顶2类,基本顶II级",2类-中等稳定,,12.1,,,6.00,,2026-09-10 15:56:23,"文献: 纵帅等,煤矿机械2013(34)04"
41,9,63,08103,7.10,"直接顶粉砂岩,基本顶中细砂岩",,,2.5,,,6.80,,2026-09-10 15:56:23,"文献: 郝翰等,2024(12)"
42,22,148,四五采区,4.74,顶板泥岩粉砂岩,,,5.0,,,5.28,,2026-09-10 15:56:23,"文献: 许梦斌,煤炭技术2022(41)07"
43,23,149,2301,9.20,特厚煤层综放,,,6.0,,,4.00,,2026-09-10 15:56:23,"文献: 查文华等,中国安全生产科学技术2014(10)08"
44,25,150,2306,2.52,直接顶K2石灰岩坚硬,4类-坚硬,,3.0,低瓦斯,低瓦斯,2.50,,2026-09-10 15:56:23,"文献: 闫振东,煤炭科学技术2012(40)11"
45,24,151,II1034,2.30,直接顶中粒砂岩,,,24.0,,,2.30,,2026-09-10 15:56:23,"文献: 陈贵等,煤矿机械2011(32)04"
46,26,152,10103,4.20,基本顶14m石灰岩,4类-坚硬,,5.0,,,2.80,,2026-09-10 15:56:23,"文献: 王鑫海,山东煤炭科技2023(06)"
47,27,153,20302(1),1.60,直接顶2类,2类-中等稳定,,1.6,,,1.40,,2026-09-10 15:56:23,"文献: 宋启等,煤矿机械2015(36)07"
48,28,154,7122,1.30,直接顶2类老顶1类,2类-中等稳定,,8.0,,,1.30,,2026-09-10 15:56:23,"文献: 宋启等,煤矿机械2015(36)07"
49,29,155,110301,3.70,顶板弱易冒落,1类-不稳定,,26.0,,,3.70,,2026-09-10 15:56:23,"文献: 张陟学位论文,中国矿业大学2023"
50,30,156,13204,10.95,中等冒落顶板,1类-不稳定,,20.0,,,3.50,,2026-09-10 15:56:23,"文献: 乔粉先,2019(09)"
51,31,151,1034,2.84,,,,28.0,,,2.84,,2026-09-10 16:33:29,"文献:宋维德等,一次采全高,81架"
52,32,161,Ⅲ上煤综采面,4.40,,,,24.0,,,,,2026-09-10 16:33:29,"文献:徐万军等,采高文献未明确(架高上限2.6<煤厚4.4)"
53,33,,ZF1802综放面,16.80,,,,7.0,,,,,2026-09-10 16:33:29,"文献:闫少宏等,文献未给出具体架型型号及采高"
54,34,163,榆家梁44305工作面,,,,,,,,,,2026-09-15 16:06:30,"任艳芳,采矿与岩层控制工程学报2020,2(3):036012;浅埋80m;设计采高1.7~2.0m区间不单值化;初撑力达设计87%,周期下沉300mm,立柱完好率98%"
55,35,164,黄沙矿2上煤首采面,0.75,粉砂岩,1类,粉砂岩,20.0,,,1.00,720,2026-09-15 16:06:30,"谢德瑜,煤矿开采2011,16(5):59-60;倾角17~24°均20°;直接顶粉砂岩4~5m一类f=3;底板粉砂岩3~4m"
56,36,165,田陈530工作面,1.65,砂质页岩,,砂质泥岩,10.0,,,1.65,,2026-09-15 16:06:30,"盛国军等,煤炭学报2007,32(3):230-234;煤厚0.8~2.3均1.65;采高最大1.9最小1.1;倾角8~13°均10°;直接顶砂质页岩3.8m f=6~8;直接底砂质泥岩2~4m;瓦斯OCR不完整不采用"
57,37,166,车集2901工作面,2.70,泥岩,,砂质泥岩,,,,2.70,,2026-09-15 16:06:30,"郑伟卫,2024(10):101-105;河南永煤车集矿;2-2煤层厚2.7m;倾角8~16°无均值不单值化;直接顶泥岩1.67m,基本顶中粒砂岩2.89m,直接底砂质泥岩3m"
58,38,167,霍尔辛赫5110工作面,7.95,中等稳定,,,,,,3.00,,2026-09-15 16:06:30,"赵杰,2023(5):215-217;煤厚7.95m=采3.0+放4.95;直接顶1.37m中等稳定,老顶10.25m基本顶Ⅱ级;直接底2.0m容许比压2.2MPa;初垮9~15m,初来压37~40m,周期来压16~25m"
59,39,168,梧桐庄182605工作面,3.45,粉砂岩,,粉砂岩,,,,3.60,,2026-09-15 16:06:30,"郭超等,煤炭与化工2023,46(5):71-74;2号煤均3.45m,最大采高3.6m;倾角里段6°、外段6~44°无均值;直接顶粉砂岩5.71m,基本顶中粒砂岩3.30m,直接底粉砂岩2.40m;支护强度三法并算:岩重0.542~0.723/顶板分类0.801/传递岩梁0.823~0.8705→≥0.823MPa"
60,40,169,榆树坡5105工作面,3.20,中等稳定,,泥岩,,,,3.26,5000,2026-09-15 16:06:30,"陈贵廷,煤炭与化工2020,43(5):97-98,107;3号煤2.97~3.38均3.2m,平均采高3.26m;倾角4~12°无均值;直接顶泥岩6.53m,老顶细粒砂岩3.10m,顶板中等稳定,直接底泥岩0.40m"
61,41,170,磁窑沟13101工作面,11.58,泥岩,,泥岩,,,,4.00,,2026-09-15 16:06:30,"杜伟剑等,煤炭与化工2022,45(2):62-66,70;13号特厚煤2.90~19.40均11.58m,割煤高4.0m综放;地层倾角4~9°无均值;顶板泥岩/砂质泥岩/细砂岩,底板泥岩"
62,42,171,顾北13121工作面,7.60,泥岩,,砂质泥岩,5.0,,,4.50,,2026-09-15 16:06:30,"康志鹏等,煤矿机械2022,43(6):131-134;采区煤厚2.59~10.17均7.6m,上分层第1层最大采厚4.5m;倾角5°,支架适应6~8°俯采;直接顶泥岩0~4.0均1.8m(中部缺失砂岩直覆),老顶粉细砂岩1.2~18.4均7m;直接底砂质泥岩0.2~11.5均2.6m;矿压实测:初压前22.8~28.7MPa,来压后30.7~39.4MPa"
