category,canonical_cn,symbol,canonical_code,unit,meaning,data_level,status,notes
工况,煤层厚度,,coal_thickness,m,工作面煤层厚度,工况,已确认,
工况,采高,,mining_height,m,工作面实际或设计采煤高度,工况,已确认,
工况,煤层倾角,,dip_angle,°,煤层倾角,工况,已确认,
工况,埋深,,depth,m,工作面埋藏深度,工况,已确认,mining_areas字段
矿压,老顶初次来压步距,L1,l1,m,基本顶首次显著来压对应步距,计算,已确认,QNeed p2输入
矿压,基本顶周期来压步距,Lp,lp,m,基本顶周期来压对应步距,计算,已确认,QNeed p3输入
矿压,控顶宽度,Bc,bc,m,支架支护空间相关控顶宽度,计算,已确认,不得与支架中心距混用
矿压,直接顶充填系数,N,n,-,直接顶厚度与采高之比,计算,已确认,QNeed p3输入
支架总体,工作阻力,P,working_resistance,kN,液压支架额定或设计工作阻力,型号,已确认,
支架总体,初撑力,P0,initial_force,kN,支架升柱建立初始支护状态时的支撑力；数据库具体是否统一为整架额定值仍需逐来源核实,型号,部分确认,28/168有值；暂不升级为整架额定初撑力
支架总体,支护强度,q,intensity,MPa,单位支护面积上的支护能力,型号,已确认,
支架总体,支架中心距,B,center_dist,m,相邻液压支架中心线间距,型号,已确认,不得与Bc混用
支架总体,支护长度参数,,canopy_len,m,历史数据库用于支护面积相关复算的长度字段；不得直接等同于顶梁长度、控顶宽度或梁端距,型号,待核定义,大量数据为经验估算
立柱,承载立柱根数,n_col,n,-,参与承载的立柱数量,设计计算,已确认,
立柱,工作压力,p,p_mpa,MPa,立柱工作压力,设计计算,已确认,
立柱,理论缸径,D,d_calc_mm,mm,根据设计载荷反算得到的理论缸径,设计计算,已确认,
立柱,标准缸径,Dstd,d_std_mm,mm,向上圆整后的标准缸径,设计计算,已确认,
立柱,屈服强度,σs,sigma_s_mpa,MPa,材料屈服强度,材料,已确认,27SiMn当前采用835MPa
立柱,抗拉强度,σb,sigma_b_mpa,MPa,材料抗拉强度,材料,缺失,当前不得自动补值
立柱,许用应力,[σ],sigma_allow_mpa,MPa,当前计算模型采用的材料许用应力,设计计算,待进一步核定,需W34D2进入Formula Registry
立柱,缸筒理论壁厚,δ,thickness_mm,mm,由缸筒强度公式计算的理论壁厚,设计计算,已确认,
